projection, theta_min, theta_max, theta_avg
row1_0, 13.8015, 16.7454, 15.459
row1_1, 16.9012, 18.9681, 17.9887
row1_2, 19.0922, 20.8209, 19.9852
row2_0, 21.3193, 24.2785, 22.8618
row2_1, 24.3662, 26.9215, 25.6816
row2_2, 26.9993, 29.296, 28.1736
row2_3, 29.3669, 31.4786, 30.442
row3_0, 31.7854, 33.7419, 32.7783
row3_1, 33.803, 35.6498, 34.7384
row3_2, 35.7078, 37.4643, 36.5961
row3_3, 37.5197, 39.2002, 38.3684
row4_0, 39.4487, 41.0573, 40.2601
row4_1, 41.1082, 42.6612, 41.891
row4_2, 42.7105, 44.2147, 43.4681
row4_3, 44.2625, 45.7235, 44.9979
